================================================================================
PORTAL FLOOD ATTACK REPORT
================================================================================

Target URL: http://10.0.0.1/client?page=dashboard
Test Date: 2026-02-05 23:34:26
Duration: 235.58 seconds

📊 STATISTICS:
----------------------------------------
Total Requests: 63112
Successful: 74
Failed: 63038
Success Rate: 0.12%

Requests per Second: 267.91
Average Response Time: 2260.09 ms

📝 SAMPLE REQUESTS (First 50):
----------------------------------------
User 00688963: SUCCESS (38.6 ms)
User 00914824: SUCCESS (50.6 ms)
User 00948523: SUCCESS (68.5 ms)
User 00238446: SUCCESS (87.6 ms)
User 00576023: SUCCESS (95.3 ms)
User 00841614: SUCCESS (95.5 ms)
User 00251107: SUCCESS (109.6 ms)
User 00579705: SUCCESS (124.0 ms)
User 00639620: SUCCESS (135.4 ms)
User 00423843: SUCCESS (209.4 ms)
User 00236188: FAILED (503) (21.4 ms)
User 00667835: FAILED (503) (55.0 ms)
User 00031992: FAILED (503) (48.2 ms)
User 00456716: FAILED (503) (66.4 ms)
User 00698048: FAILED (503) (54.6 ms)
User 00420699: FAILED (503) (57.6 ms)
User 00998895: SUCCESS (376.9 ms)
User 00350312: FAILED (503) (83.1 ms)
User 00970011: FAILED (503) (81.8 ms)
User 00949049: FAILED (503) (101.6 ms)
User 00351550: FAILED (503) (118.9 ms)
User 00352045: FAILED (503) (116.3 ms)
User 00012852: FAILED (503) (120.8 ms)
User 00075698: FAILED (503) (107.1 ms)
User 00396982: FAILED (503) (126.8 ms)
User 00011412: FAILED (503) (160.3 ms)
User 00121797: FAILED (503) (144.5 ms)
User 00941709: FAILED (503) (155.6 ms)
User 00393552: FAILED (503) (165.7 ms)
User 00146628: FAILED (503) (175.2 ms)
User 00668495: SUCCESS (560.6 ms)
User 00201743: FAILED (503) (181.2 ms)
User 00691938: FAILED (503) (174.3 ms)
User 00819179: FAILED (503) (169.2 ms)
User 00636593: FAILED (503) (161.3 ms)
User 00420679: FAILED (503) (195.8 ms)
User 00263688: FAILED (503) (202.4 ms)
User 00587314: FAILED (503) (224.3 ms)
User 00246256: FAILED (503) (224.6 ms)
User 00284537: FAILED (503) (240.6 ms)
User 00794141: FAILED (503) (254.6 ms)
User 00784327: FAILED (503) (253.1 ms)
User 00939442: FAILED (503) (279.8 ms)
User 00858739: FAILED (503) (283.7 ms)
User 00868695: FAILED (503) (283.0 ms)
User 00116608: FAILED (503) (270.0 ms)
User 00778948: SUCCESS (739.3 ms)
User 00517797: FAILED (503) (276.8 ms)
User 00406620: FAILED (503) (287.9 ms)
User 00587412: FAILED (503) (313.4 ms)
